vector_size; nblocks; blocksize; time; cpu_time; incorret
500; 500; 1; 0.026300; 0.006000; 0
500; 250; 2; 0.028000; 0.009000; 0
500; 167; 3; 0.023000; 0.006000; 0
500; 125; 4; 0.022800; 0.005000; 0
500; 100; 5; 0.021900; 0.006000; 0
500; 84; 6; 0.025200; 0.009000; 0
500; 72; 7; 0.022400; 0.005000; 0
500; 63; 8; 0.022300; 0.006000; 0
500; 56; 9; 0.022000; 0.006000; 0
500; 50; 10; 0.022000; 0.006000; 0
500; 46; 11; 0.022200; 0.006000; 0
500; 42; 12; 0.021700; 0.006000; 0
500; 39; 13; 0.021900; 0.006000; 0
500; 36; 14; 0.021700; 0.006000; 0
500; 34; 15; 0.022900; 0.006000; 0
500; 32; 16; 0.021700; 0.006000; 0
500; 30; 17; 0.022200; 0.006000; 0
500; 28; 18; 0.021900; 0.005000; 0
500; 27; 19; 0.026200; 0.009000; 0
500; 25; 20; 0.021700; 0.006000; 0
500; 24; 21; 0.021800; 0.006000; 0
500; 23; 22; 0.021700; 0.006000; 0
500; 22; 23; 0.026000; 0.009000; 0
500; 21; 24; 0.021700; 0.005000; 0
500; 20; 25; 0.021700; 0.006000; 0
500; 20; 26; 0.022100; 0.005000; 0
500; 19; 27; 0.025200; 0.009000; 0
500; 18; 28; 0.021700; 0.005000; 0
500; 18; 29; 0.021900; 0.005000; 0
500; 17; 30; 0.021900; 0.006000; 0
500; 17; 31; 0.021600; 0.006000; 0
500; 16; 32; 0.021800; 0.006000; 0
500; 16; 33; 0.022000; 0.006000; 0
500; 15; 34; 0.022400; 0.006000; 0
500; 15; 35; 0.021600; 0.006000; 0
500; 14; 36; 0.021600; 0.005000; 0
500; 14; 37; 0.021800; 0.006000; 0
500; 14; 38; 0.021600; 0.013000; 0
500; 13; 39; 0.021800; 0.006000; 0
500; 13; 40; 0.026000; 0.010000; 0
500; 13; 41; 0.021800; 0.005000; 0
500; 12; 42; 0.022900; 0.005000; 0
500; 12; 43; 0.021600; 0.006000; 0
500; 12; 44; 0.027200; 0.009000; 0
500; 12; 45; 0.021600; 0.006000; 0
500; 11; 46; 0.021600; 0.006000; 0
500; 11; 47; 0.022400; 0.006000; 0
500; 11; 48; 0.025800; 0.009000; 0
500; 11; 49; 0.021700; 0.006000; 0
500; 10; 50; 0.021600; 0.006000; 0
500; 10; 51; 0.021800; 0.006000; 0
500; 10; 52; 0.021800; 0.006000; 0
500; 10; 53; 0.021500; 0.006000; 0
500; 10; 54; 0.021600; 0.005000; 0
500; 10; 55; 0.021900; 0.005000; 0
500; 9; 56; 0.021600; 0.006000; 0
500; 9; 57; 0.021600; 0.006000; 0
500; 9; 58; 0.021900; 0.006000; 0
500; 9; 59; 0.021700; 0.006000; 0
500; 9; 60; 0.021800; 0.005000; 0
500; 9; 61; 0.026100; 0.010000; 0
