vector_size; nblocks; blocksize; time; cpu_time; incorret
1000; 16; 64; 0.021960; 0.013000; 0
2000; 32; 64; 0.018640; 0.016000; 0
3000; 47; 64; 0.018960; 0.021000; 0
4000; 63; 64; 0.018300; 0.029000; 0
5000; 79; 64; 0.022840; 0.056000; 0
6000; 94; 64; 0.020760; 0.041000; 0
7000; 110; 64; 0.022400; 0.048000; 0
8000; 125; 64; 0.024000; 0.060000; 0
9000; 141; 64; 0.026540; 0.061000; 0
10000; 157; 64; 0.028140; 0.070000; 0
11000; 172; 64; 0.029720; 0.079000; 0
12000; 188; 64; 0.031260; 0.133000; 0
13000; 204; 64; 0.033120; 0.086000; 0
14000; 219; 64; 0.034960; 0.093000; 0
15000; 235; 64; 0.036580; 0.099000; 0
16000; 250; 64; 0.038460; 0.105000; 0
17000; 266; 64; 0.029940; 0.112000; 0
18000; 282; 64; 0.030980; 0.123000; 0
19000; 297; 64; 0.031740; 0.129000; 0
20000; 313; 64; 0.032560; 0.140000; 0
21000; 329; 64; 0.033580; 0.141000; 0
22000; 344; 64; 0.034600; 0.153000; 0
23000; 360; 64; 0.035280; 0.154000; 0
24000; 375; 64; 0.035960; 0.160000; 0
25000; 391; 64; 0.037560; 0.163000; 0
26000; 407; 64; 0.038160; 0.170000; 0
27000; 422; 64; 0.039140; 0.174000; 0
28000; 438; 64; 0.040120; 0.184000; 0
29000; 454; 64; 0.041020; 0.190000; 0
30000; 469; 64; 0.041740; 0.196000; 0
31000; 485; 64; 0.042740; 0.202000; 0
32000; 500; 64; 0.043720; 0.207000; 0
33000; 516; 64; 0.044880; 0.214000; 0
34000; 532; 64; 0.045520; 0.223000; 0
35000; 547; 64; 0.046580; 0.228000; 0
36000; 563; 64; 0.051240; 0.389000; 0
37000; 579; 64; 0.048520; 0.244000; 0
38000; 594; 64; 0.049320; 0.252000; 0
39000; 610; 64; 0.050280; 0.259000; 0
40000; 625; 64; 0.050960; 0.259000; 0
41000; 641; 64; 0.052300; 0.268000; 0
42000; 657; 64; 0.053260; 0.287000; 0
43000; 672; 64; 0.053940; 0.462000; 0
44000; 688; 64; 0.054980; 0.297000; 0
45000; 704; 64; 0.056020; 0.289000; 0
46000; 719; 64; 0.056740; 0.294000; 0
47000; 735; 64; 0.057920; 0.300000; 0
48000; 750; 64; 0.061660; 0.308000; 0
49000; 766; 64; 0.059620; 0.318000; 0
50000; 782; 64; 0.060740; 0.322000; 0
51000; 797; 64; 0.061740; 0.329000; 0
52000; 813; 64; 0.062580; 0.334000; 0
53000; 829; 64; 0.063580; 0.341000; 0
54000; 844; 64; 0.064500; 0.351000; 0
55000; 860; 64; 0.065400; 0.356000; 0
56000; 875; 64; 0.066320; 0.366000; 0
57000; 891; 64; 0.067100; 0.365000; 0
58000; 907; 64; 0.068320; 0.375000; 0
59000; 922; 64; 0.068920; 0.376000; 0
60000; 938; 64; 0.070240; 0.384000; 0
61000; 954; 64; 0.071460; 0.391000; 0
