vector_size; nblocks; blocksize; time; cpu_time; incorret
1000; 2; 512; 0.003840; 0.008000; 0
2000; 4; 512; 0.003850; 0.016000; 0
3000; 6; 512; 0.003880; 0.021000; 0
4000; 8; 512; 0.003930; 0.028000; 0
5000; 10; 512; 0.003960; 0.033000; 0
6000; 12; 512; 0.003990; 0.041000; 0
7000; 14; 512; 0.004030; 0.050000; 0
8000; 16; 512; 0.004900; 0.091000; 0
9000; 18; 512; 0.004490; 0.060000; 0
10000; 20; 512; 0.004570; 0.065000; 0
11000; 22; 512; 0.004590; 0.072000; 0
12000; 24; 512; 0.004800; 0.131000; 0
13000; 26; 512; 0.004610; 0.084000; 0
14000; 28; 512; 0.004620; 0.094000; 0
15000; 30; 512; 0.004690; 0.105000; 0
16000; 32; 512; 0.004720; 0.103000; 0
17000; 34; 512; 0.004970; 0.109000; 0
18000; 36; 512; 0.005030; 0.119000; 0
19000; 38; 512; 0.005100; 0.127000; 0
20000; 40; 512; 0.005090; 0.136000; 0
21000; 42; 512; 0.005250; 0.236000; 0
22000; 43; 512; 0.005110; 0.143000; 0
23000; 45; 512; 0.005150; 0.157000; 0
24000; 47; 512; 0.005150; 0.160000; 0
25000; 49; 512; 0.005820; 0.159000; 0
26000; 51; 512; 0.005960; 0.167000; 0
27000; 53; 512; 0.005960; 0.172000; 0
28000; 55; 512; 0.006020; 0.178000; 0
29000; 57; 512; 0.006050; 0.185000; 0
30000; 59; 512; 0.006120; 0.190000; 0
31000; 61; 512; 0.006210; 0.197000; 0
32000; 63; 512; 0.006410; 0.202000; 0
33000; 65; 512; 0.006480; 0.208000; 0
34000; 67; 512; 0.006640; 0.372000; 0
35000; 69; 512; 0.006590; 0.220000; 0
36000; 71; 512; 0.006620; 0.226000; 0
37000; 73; 512; 0.006660; 0.239000; 0
38000; 75; 512; 0.006830; 0.405000; 0
39000; 77; 512; 0.006940; 0.247000; 0
40000; 79; 512; 0.007050; 0.252000; 0
41000; 81; 512; 0.007330; 0.263000; 0
42000; 83; 512; 0.007310; 0.263000; 0
43000; 84; 512; 0.007340; 0.268000; 0
44000; 86; 512; 0.007370; 0.277000; 0
45000; 88; 512; 0.007430; 0.288000; 0
46000; 90; 512; 0.007450; 0.287000; 0
47000; 92; 512; 0.007490; 0.496000; 0
48000; 94; 512; 0.007510; 0.309000; 0
49000; 96; 512; 0.007530; 0.317000; 0
50000; 98; 512; 0.007870; 0.313000; 0
51000; 100; 512; 0.007960; 0.541000; 0
52000; 102; 512; 0.008030; 0.325000; 0
53000; 104; 512; 0.008100; 0.341000; 0
54000; 106; 512; 0.008150; 0.347000; 0
55000; 108; 512; 0.008200; 0.345000; 0
56000; 110; 512; 0.008310; 0.352000; 0
57000; 112; 512; 0.008370; 0.356000; 0
58000; 114; 512; 0.008710; 0.362000; 0
59000; 116; 512; 0.008820; 0.376000; 0
60000; 118; 512; 0.008810; 0.641000; 0
61000; 120; 512; 0.009100; 0.392000; 0
62000; 122; 512; 0.009410; 0.397000; 0
63000; 124; 512; 0.009690; 0.395000; 0
64000; 125; 512; 0.009760; 0.673000; 0
65000; 127; 512; 0.009990; 0.406000; 0
66000; 129; 512; 0.010190; 0.412000; 0
67000; 131; 512; 0.010280; 0.418000; 0
68000; 133; 512; 0.010530; 0.433000; 0
69000; 135; 512; 0.010840; 0.431000; 0
70000; 137; 512; 0.011190; 0.447000; 0
71000; 139; 512; 0.011620; 0.448000; 0
72000; 141; 512; 0.011760; 0.454000; 0
73000; 143; 512; 0.011860; 0.461000; 0
74000; 145; 512; 0.011950; 0.470000; 0
75000; 147; 512; 0.012190; 0.473000; 0
76000; 149; 512; 0.012270; 0.477000; 0
77000; 151; 512; 0.012420; 0.812000; 0
78000; 153; 512; 0.012510; 0.488000; 0
79000; 155; 512; 0.012600; 0.490000; 0
80000; 157; 512; 0.012770; 0.506000; 0
81000; 159; 512; 0.012870; 0.515000; 0
82000; 161; 512; 0.012960; 0.512000; 0
83000; 163; 512; 0.013150; 0.520000; 0
