net size, block size, global [s], shared [s], texture pad [s]
32 , 16, 0.322876, 0.421659, 0.344225
64 , 16, 0.353774, 0.43712, 0.329918
96 , 16, 0.44817, 0.620247, 0.432821
128 , 16, 0.561588, 0.784505, 0.489158
160 , 16, 0.747272, 1.07441, 0.632623
192 , 16, 0.983311, 1.46081, 0.7428
224 , 16, 1.1745, 1.80815, 0.93092
256 , 16, 1.43371, 2.2173, 1.09273
384 , 16, 2.85456, 4.41925, 2.36242
512 , 16, 4.64226, 7.40739, 3.86577
640 , 16, 6.91489, 11.1838, 5.83052
768 , 16, 9.71809, 15.8059, 8.2267
896 , 16, 12.9915, 21.3004, 11.0412
1024 , 16, 17.3812, 28.2114, 14.2436
1280 , 16, 25.9017, 42.7098, 22.0673
1536 , 16, 37.0779, 61.2204, 31.6189
1792 , 16, 50.2342, 83.0818, 42.8737
2048 , 16, 0, 0, 55.738
2560 , 16, 0, 0, 87.0239
3072 , 16, 146.858, 243.858, 125.302
3584 , 16, 199.095, 330.083, 170.289
4096 , 16, 259.97, 432.463, 221.37
5120 , 16, 406.045, 674.905, 347.018
6144 , 16, 584.766, 970.479, 500.009
7168 , 16, 0, 0, 681.811
8192 , 16, 0, 0, 886.074
