threads,time,problem_size,speedup,efficiency,karp_flatt
1,0.007925,100000,1.0,1.0,
2,0.005187,100000,1.52785810681,0.763929053403,0.309022082019
3,0.00367,100000,2.15940054496,0.719800181653,0.194637223975
4,0.00323,100000,2.45356037152,0.613390092879,0.210094637224
5,0.002535,100000,3.12623274162,0.625246548323,0.149842271293
6,0.00253,100000,3.13241106719,0.522068511199,0.18309148265
7,0.002585,100000,3.06576402321,0.43796628903,0.213880126183
8,0.002139,100000,3.70500233754,0.463125292193,0.165606128887
9,0.002403,100000,3.29796088223,0.366440098026,0.216119873817
10,0.001956,100000,4.05163599182,0.405163599182,0.163126533474
11,0.002026,100000,3.91164856861,0.355604415328,0.181211356467
12,0.002422,100000,3.27208918249,0.272674098541,0.24248924577
1,47.368735,1000000000,1.0,1.0,
2,27.55827,1000000000,1.71885735208,0.859428676038,0.163563688158
3,19.508394,1000000000,2.42812068487,0.809373561623,0.117761715613
4,14.748539,1000000000,3.21175778835,0.802939447087,0.0818079759431
5,12.446999,1000000000,3.80563499684,0.761126999367,0.0784602966493
6,10.363924,1000000000,4.57054055973,0.761756759956,0.0625510012036
7,9.472829,1000000000,5.00048454374,0.71435493482,0.0666440568165
8,7.784134,1000000000,6.08529285339,0.760661606673,0.0449492898639
9,7.264859,1000000000,6.52025524515,0.724472805016,0.0475392576981
10,6.514266,1000000000,7.27153834369,0.727153834369,0.0416916465165
11,6.432047,1000000000,7.36448831919,0.669498938108,0.0493654348169
12,5.837133,1000000000,8.11506864757,0.676255720631,0.0435209599366
1,59.05764,100000000000,1.0,1.0,
2,33.288712,100000000000,1.77410408669,0.887052043347,0.127329571585
3,24.170142,100000000000,2.44341303415,0.814471011383,0.113895391011
4,17.288064,100000000000,3.41609332312,0.854023330779,0.0569760660941
5,14.770291,100000000000,3.9984073435,0.7996814687,0.062624475851
6,12.484971,100000000000,4.73029853253,0.788383088755,0.053683777408
7,11.355147,100000000000,5.20095776831,0.742993966902,0.0576509914721
8,9.837952,100000000000,6.00304209657,0.750380262071,0.0475225220649
9,9.056248,100000000000,6.52120392463,0.724578213848,0.0475141573554
10,7.893548,100000000000,7.48176105346,0.748176105346,0.0373981907995
11,7.505126,100000000000,7.86897381869,0.715361256245,0.0397895107221
12,7.009221,100000000000,8.42570665128,0.70214222094,0.0385648079648
1,0.076631,1000000,1.0,1.0,
2,0.04248,1000000,1.80393126177,0.901965630885,0.108689694771
3,0.028051,1000000,2.731845567,0.910615189001,0.0490793543083
4,0.023805,1000000,3.21911363159,0.804778407898,0.0808593563092
5,0.017647,1000000,4.34243780813,0.868487561625,0.0378567420496
6,0.016655,1000000,4.60108075653,0.766846792755,0.0608082890736
7,0.014732,1000000,5.20166983437,0.743095690625,0.0576202842192
8,0.012879,1000000,5.95007376349,0.743759220436,0.0492173066849
9,0.012063,1000000,6.35256569676,0.705840632973,0.0520938001592
10,0.011404,1000000,6.7196597685,0.67196597685,0.0542411759674
11,0.010082,1000000,7.60077365602,0.690979423275,0.0447221098511
12,0.009617,1000000,7.96828532806,0.664023777339,0.0459972880664
