nproc; msg_size; count; zad1; std_bcast; my_bcast; std_scatter; my_scatter
2 ;  32 ;  10000000 ; 0.899446;  0.533642;  0.463558;  1.675178;  1.682011;
3 ;  32 ;  10000000 ; 2.399298;  0.838883;  0.779549;  2.062790;  2.143979;
4 ;  32 ;  10000000 ; 1.648283;  0.829001;  1.139410;  2.700752;  2.843864;
5 ;  32 ;  10000000 ; 3.281792;  1.315216;  1.705297;  3.579520;  3.099454;
6 ;  32 ;  10000000 ; 3.578770;  1.474604;  2.381106;  5.642305;  5.690024;
7 ;  32 ;  10000000 ; 3.571731;  1.347761;  2.865164;  6.444370;  5.272430;
8 ;  32 ;  10000000 ; 3.686931;  1.329346;  3.644065;  4.933984;  7.790839;
9 ;  32 ;  10000000 ; 5.071588;  2.079687;  4.004424;  6.770549;  9.000183;
10 ;  32 ;  10000000 ; 4.707574;  2.054313;  4.629351;  6.072544;  8.802154;
11 ;  32 ;  10000000 ; 4.741439;  1.885567;  5.434262;  5.897820;  5.836467;
12 ;  32 ;  10000000 ; 4.738718;  1.928187;  5.982825;  6.586941;  7.950377;
