problem_size,size_per_proc,procs,time,pi,speedup,efficiency,karp_flatt
1,1,1,2e-06,4.0,1.0,1.0,
10000000,10000000,1,0.387448,3.141143,1.0,1.0,
10000000,5000000,2,0.899303,3.141818,0.430831432787,0.215415716394,3.64218682249
10000000,3333333,3,1.028481,3.141801,0.376718675406,0.125572891802,3.4817510995
10000000,2500000,4,0.593369,3.142271,0.652962996045,0.163240749011,1.70864047132
10000000,2000000,5,0.560242,3.142273,0.691572570425,0.138314514085,1.55747480952
10000000,1666666,6,0.514149,3.141567,0.753571435518,0.125595239253,1.39241704693
10000000,1428571,7,0.460995,3.142006,0.84046030868,0.120065758383,1.22146154667
10000000,1250000,8,0.41032,3.141174,0.944258139988,0.118032267499,1.06746564332
10000000,1111111,9,0.312298,3.141879,1.24063554682,0.137848394091,0.781793298714
10000000,1000000,10,0.314769,3.141458,1.23089630809,0.123089630809,0.791573464195
10000000,909090,11,0.295786,3.141014,1.30989296316,0.119081178469,0.739763271458
10000000,833333,12,0.291909,3.141724,1.32729035419,0.110607529515,0.730997801934
50000000,50000000,1,7.866663,3.141829,1.0,1.0,
50000000,25000000,2,3.826513,3.141933,2.0558307263,1.02791536315,-0.0271572584208
50000000,16666666,3,2.540608,3.141722,3.09637023893,1.03212341298,-0.0155618081008
50000000,12500000,4,3.215493,3.141554,2.44648736601,0.611621841503,0.211665734251
50000000,10000000,5,3.069849,3.14159,2.5625569857,0.51251139714,0.237794030328
50000000,8333333,6,2.59113,3.141413,3.03599703604,0.505999506007,0.195257302874
50000000,7142857,7,1.56112,3.14162,5.03911486625,0.719873552321,0.0648554751445
50000000,6250000,8,1.673997,3.141453,4.69932921027,0.587416151283,0.100338660569
50000000,5555555,9,1.524023,3.141157,5.16177446141,0.573530495712,0.0929483060352
50000000,5000000,10,1.43153,3.141301,5.49528336814,0.549528336814,0.0910824859565
50000000,4545454,11,1.361204,3.141416,5.7791947423,0.525381340209,0.0903379361745
50000000,4166666,12,1.329486,3.141714,5.91707095825,0.493089246521,0.0934573124358
100000000,100000000,1,5.322562,3.141474,1.0,1.0,
100000000,50000000,2,8.074865,3.141258,0.659151824829,0.329575912415,2.03420232587
100000000,33333333,3,7.156725,3.141306,0.743714757798,0.247904919266,1.51690229254
100000000,25000000,4,6.43697,3.141555,0.826873824175,0.206718456044,1.27916581025
100000000,20000000,5,6.064024,3.141559,0.877727726671,0.175545545334,1.17413183726
100000000,16666666,6,4.792146,3.141636,1.11068444075,0.185114073458,0.880414882908
100000000,14285714,7,3.415373,3.141436,1.5584130928,0.222630441829,0.581958118415
100000000,12500000,8,3.558364,3.141631,1.4957890761,0.186973634513,0.621192522377
100000000,11111111,9,3.150445,3.141758,1.68946355197,0.187718172442,0.540891844003
100000000,10000000,10,2.440036,3.14155,2.18134568506,0.218134568506,0.398258457738
100000000,9090909,11,2.508879,3.141455,2.12149011571,0.192862737791,0.418503476333
100000000,8333333,12,2.605963,3.141312,2.04245493892,0.170204578244,0.443207510696
