problem_size, size_per_proc, procs, time, pi
1, 1, 1, 0.000002, 4.000000
10000000, 10000000, 1, 0.387448, 3.141143
10000000, 5000000, 2, 0.899303, 3.141818
10000000, 3333333, 3, 1.028481, 3.141801
10000000, 2500000, 4, 0.593369, 3.142271
10000000, 2000000, 5, 0.560242, 3.142273
10000000, 1666666, 6, 0.514149, 3.141567
10000000, 1428571, 7, 0.460995, 3.142006
10000000, 1250000, 8, 0.410320, 3.141174
10000000, 1111111, 9, 0.312298, 3.141879
10000000, 1000000, 10, 0.314769, 3.141458
10000000, 909090, 11, 0.295786, 3.141014
10000000, 833333, 12, 0.291909, 3.141724
50000000, 50000000, 1, 7.866663, 3.141829
50000000, 25000000, 2, 3.826513, 3.141933
50000000, 16666666, 3, 2.540608, 3.141722
50000000, 12500000, 4, 3.215493, 3.141554
50000000, 10000000, 5, 3.069849, 3.141590
50000000, 8333333, 6, 2.591130, 3.141413
50000000, 7142857, 7, 1.561120, 3.141620
50000000, 6250000, 8, 1.673997, 3.141453
50000000, 5555555, 9, 1.524023, 3.141157
50000000, 5000000, 10, 1.431530, 3.141301
50000000, 4545454, 11, 1.361204, 3.141416
50000000, 4166666, 12, 1.329486, 3.141714
100000000, 100000000, 1, 5.322562, 3.141474
100000000, 50000000, 2, 8.074865, 3.141258
100000000, 33333333, 3, 7.156725, 3.141306
100000000, 25000000, 4, 6.436970, 3.141555
100000000, 20000000, 5, 6.064024, 3.141559
100000000, 16666666, 6, 4.792146, 3.141636
100000000, 14285714, 7, 3.415373, 3.141436
100000000, 12500000, 8, 3.558364, 3.141631
100000000, 11111111, 9, 3.150445, 3.141758
100000000, 10000000, 10, 2.440036, 3.141550
100000000, 9090909, 11, 2.508879, 3.141455
100000000, 8333333, 12, 2.605963, 3.141312
